De Didier Fontaine






287	miséricorde	οἰκτιρμός
460b	cacher	λανθάνω

461	défection	ὑποστολή
461b	cachette	κρύπτη

462	endurer	ὑποφέρω
462b	supporter	ἀνέχομαι


464	élever	ὑψόω
464b	lever	ἐπαίρω


466	visible	φανερός
466b	manifeste	ἐμφανής

467	montrer	φανερόω
467b	apparaître	ὀπτάνομαι

468	apparaître	φαντάζω
468b	montrer	φανερόω

469	porter	φέρω
469b	porter	βαστάζω

470	rumeur	φήμη
470b	renommée	κλέος

471	déclarer	φημί
471b	promettre	ἐπαγγέλλομαι

472	détruire	φθείρω
472b	dévaster	πορθέω

473	corruption	φθορά
473b	destruction	καθαίρεσις

474	museler	φιμόω
474b	museler	ἐπιστομίζω

475	enflammer	φλογίζω
475b	brûler	πυρόω

476	meurtrier	φονεύς
476b	homicide	ἀνθρωποκτόνος

477	apporter	φορέω
477b	porter	φέρω

478	flageller	φραγελλόω
478b	fouetter	μαστίζω

479	indiquer	φράζω
479b	montrer	ἐνδείκνυμι

480	clore	φράσσω
480b	fermer	καμμύω

481	penser	φρονέω
481b	estimer	δοκέω

482	pensée	φρόνημα
482b	projet	ἐπίνοια

483	pensée	φρόνησις
483b	comportement	φρόνημα

484	se soucier de 	φροντίζω
484b	réfléchir	ἐνθυμέομαι

485	monter la garde	φρουρέω
485b	garder	τηρέω

486	prison	φυλακή
486b	garde	κουστωδία

487	surveiller	φυλάσσω
487b	garder	φρουρέω

488	masse	φύραμα
488b	fardeau	ὄγκος

489	lumière	φῶς
489b	clarté	φέγγος

490	réjouir	χαίρω
490b	se réjouir	εὐφραίνω

491	joie	χαρά
491b	gaieté	εὐφροσύνη

492	faire grâce	χαρίζομαι
492b	être reconnaissant	εὐχαριστέω

493	gratifier	χαριτόω
493b	faire grâce	χαρίζομαι



496	poussière	χοῦς
496b	fine poussière	κονιορτός

497	rassasier	χορτάζω
497b	rassasier	κορέννυμι

498	foin	χόρτος
498b	herbe	βοτάνη

499	prêter	χράω
499b	prêter	δανείζω

500	besoin	χρεία
500b	nécessité	ἀνάγκη

501	avantageux	χρήσιμος
501b	utile	εὔχρηστος

502	oindre	χρίω
502b	oindre	ἀλείφω

503	séparer	χωρίζω
503b	s'éloigner	διΐστημι



505	tromperie	ψεῦσμα
505b	mensonge	ψεῦδος

506	compter	ψηφίζω
506b	estimer	λογίζομαι

507	froid	ψυχρός
507b	froid	ψῦχος

508	ici	ὧδε
508b	ici	ἐνθάδε

509	beau	ὡραῖος
509b	bon	καλός

510	rugir	ὠρύομαι
510b	rugir	μυκάομαι

511	comme	ὡς
511b	selon que	καθά

512	utilité	ὠφέλεια
512b	usage	χρῆσις

513	profiter	ὠφελέω
513b	recevoir un service	ὀνίνημι

514	utile	ὠφέλιμος
514b	avantageux	χρήσιμος

515	annoncer	ἀγγέλλω
515b	rapporter une nouvelle	ἀπαγγέλλω

516	panier	ἄγγος
516b	récipient	ἀγγεῖον

517	assembler	ἀθροίζω
517b	rassembler	συναθροίζω

518	jeter le filet	ἀμφιβάλλω
518b	jeter autour	περιβάλλω

519	s'enorgueillir	αὐχέω
519b	vanter	περπερεύομαι

520	incorruptibilité	ἀφθορία
520b	incorruptibilité	ἀφθαρσία

521	trou d'une aiguille	βελόνη
521b	aiguille	ῥαφίς

522	nettoyer en séparant	διακαθᾶραι
522b	nettoyer complètement	διακαθαρίζω

523	abandonner	ἐνκακεῖν
523b	délaisser	ἐγκαταλείπω

524	sortir de	ἐκβαίνω
524b	sortir	ἐξέρχομαι

525	excessivement	ἐκπερισσῶς
525b	excessivement	σφόδρα

526	bondir	ἐκπηδάω
526b	sauter hors	ἐξάλλομαι

527	d'ici	ἔνθεν
527b	de là	ἐκεῖθεν

528	survenir	ἐπεισέρχομαι
528b	venir sur	ἐπέρχομαι

529	troubler	θορυβάζομαι
529b	malmener	ὀχλέω

530	faire habiter	κατοικίζω
530b	habiter	κατοικέω

531	se changer en	μετατρέπομαι
531b	retourner	ἐπιστρέφω

532	plus petit	μικρότερος
532b	moindre	ἐλάχιστος

533	meulière	μύλινος
533b	meulière	μυλικός



535	bonté	πραϋπάθεια
535b	douceur	πρᾳΰτης



537	premièrement	πρώτως
537b	d'abord	πρῶτον

538	parente	συγγενίς
538b	parenté	συγγένεια

539	avantage	σύμφορος
539b	profit	ὄφελος
